# CurrentScene  NextScene  ProductionCost

OpeningScene CityPanorama 2
OpeningScene MarketChase 4

CityPanorama SecretMeeting 3
CityPanorama PoliceInvestigation 4

MarketChase PoliceInvestigation 3
MarketChase HarborAmbush 6

SecretMeeting UndercoverExchange 3
SecretMeeting SafeHouseDiscussion 4

PoliceInvestigation EvidenceAnalysis 3
PoliceInvestigation NewsBroadcast 2

NewsBroadcast TrainStationRun 3
NewsBroadcast SafeHouseDiscussion 4

SafeHouseDiscussion EvidenceAnalysis 2
SafeHouseDiscussion CarEscape 4

EvidenceAnalysis WarehouseFight 3
EvidenceAnalysis UndercoverExchange 2

UndercoverExchange HarborAmbush 3
UndercoverExchange WarehouseFight 4

WarehouseFight CarEscape 3
WarehouseFight RooftopConfrontation 5

HarborAmbush TrainStationRun 4
HarborAmbush CarEscape 3

TrainStationRun HelicopterArrival 3

CarEscape HelicopterArrival 2
CarEscape RooftopConfrontation 3

HelicopterArrival FinalShowdown 3

RooftopConfrontation FinalShowdown 2

FinalShowdown Aftermath 2
Aftermath CreditsScene 1
